+------------+-----+--------+----------+------------------------------------------------+----------------------------------------+----------------+
| DeviceType | Id  | Period | Point Id | Point Name                                     | Show Point Name                        | Translation Id |
| 7          | 475 | 1      | 8070     | Daily Tip Forward Active Energy                | Daily Tip Forward Active Energy        | 1022994        |
| 7          | 476 | 1      | 8071     | Daily Tip Reverse Active Energy                | Daily Tip Reverse Active Energy        | 1022993        |
| 7          | 477 | 2      | 8001     | Phase B Voltage                                | Phase B Voltage                        | 1020792        |
| 7          | 478 | 2      | 8002     | Phase C Voltage                                | Phase C Voltage                        | 1020835        |
| 7          | 479 | 2      | 8006     | Phase A Current                                | Phase A Current                        | 1018151        |
| 7          | 480 | 2      | 8007     | Phase B Current                                | Phase B Current                        | 1020789        |
| 7          | 481 | 2      | 8008     | Phase C Current                                | Phase C Current                        | 1020832        |
| 7          | 482 | 2      | 8014     | PF                                             | Power Factor PF                        | 1022254        |
| 7          | 483 | 2      | 8018     | Meter Active Power                             | Active Power                           | 1023501        |
| 7          | 484 | 2      | 8022     | Reactive Power                                 | Reactive Power Qsum                    | 1023301        |
| 7          | 485 | 2      | 8026     | Apparent Power                                 | Apparent Power Ssum                    | 1023113        |
| 7          | 486 | 2      | 8030     | Forward Active Energy                          | Forward Active Energy                  | 1023580        |
| 7          | 487 | 2      | 8031     | Reverse Active Energy                          | Reverse Active Energy                  | 1022019        |
| 7          | 488 | 2      | 8032     | Forward Reactive Energy                        | Forward Reactive Energy                | 1321692        |
| 7          | 489 | 2      | 8033     | Reverse Reactive Energy                        | Reverse Reactive Energy                | 1022016        |
| 7          | 490 | 2      | 8034     | Peak Forward Active Energy                     | Peak Forward Active Energy             | 1022089        |
| 7          | 491 | 2      | 8035     | Peak Reverse Active Energy                     | Peak Reverse Active Energy             | 1022087        |
| 7          | 492 | 2      | 8038     | Valley Forward Active Energy                   | Valley Forward Active Energy           | 1022274        |
| 7          | 493 | 2      | 8039     | Valley Reverse Active Energy                   | Valley Reverse Active Energy           | 1022272        |
| 7          | 494 | 2      | 8042     | Flat Forward Active Energy                     | Flat Forward Active Energy             | 1022897        |
| 7          | 495 | 2      | 8043     | Flat Reverse Active Energy                     | Flat Reverse Active Energy             | 1022892        |
| 7          | 496 | 2      | 8062     | Daily Forward Active Energy                    | Monthly Forward Active Energy          | 1321686        |
| 7          | 497 | 2      | 8063     | Daily Reverse Active Energy                    | Monthly Reverse Active Energy          | 1321644        |
| 7          | 498 | 2      | 8064     | Frequency                                      | Frequency                              | 1022866        |
| 7          | 499 | 2      | 8072     | Daily Peak Forward Active Energy               | Monthly Peak Forward Active kWh        | 1321683        |
| 7          | 500 | 2      | 8065     | Daily Peak Reverse Active Energy               | Monthly Peak Reverse Active kWh        | 1321677        |
| 7          | 501 | 2      | 8066     | Daily Valley Forward Active Energy             | Monthly Valley Forward Active kWh      | 1321689        |
| 7          | 502 | 2      | 8067     | Daily Valley Reverse Active Energy             | Monthly Valley Reverse Active kWh      | 1321688        |
| 7          | 503 | 2      | 8068     | Daily Flat Forward Active Energy               | Monthly Flat Forward Active kWh        | 1321685        |
| 7          | 504 | 2      | 8069     | Daily Flat Reverse Active Energy               | Monthly Flat Reverse Active kWh        | 1321684        |
| 7          | 505 | 2      | 8070     | Daily Tip Forward Active Energy                | Monthly Tip Forward Active kWh         | 1321676        |
| 7          | 506 | 2      | 8071     | Daily Tip Reverse Active Energy                | Monthly Tip Reverse Active kWh         | 1321675        |
| 7          | 507 | 3      | 8001     | Phase B Voltage                                | Phase B Voltage                        | 1020792        |
| 7          | 508 | 3      | 8002     | Phase C Voltage                                | Phase C Voltage                        | 1020835        |
| 7          | 509 | 3      | 8006     | Phase A Current                                | Phase A Current                        | 1018151        |
| 7          | 510 | 3      | 8007     | Phase B Current                                | Phase B Current                        | 1020789        |
| 7          | 511 | 3      | 8008     | Phase C Current                                | Phase C Current                        | 1020832        |
| 7          | 512 | 3      | 8014     | PF                                             | Power Factor PF                        | 1022254        |
| 7          | 513 | 3      | 8018     | Meter Active Power                             | Active Power                           | 1023501        |
| 7          | 514 | 3      | 8022     | Reactive Power                                 | Reactive Power Qsum                    | 1023301        |
| 7          | 515 | 3      | 8026     | Apparent Power                                 | Apparent Power Ssum                    | 1023113        |
| 7          | 516 | 3      | 8030     | Forward Active Energy                          | Forward Active Energy                  | 1023580        |
| 7          | 517 | 3      | 8031     | Reverse Active Energy                          | Reverse Active Energy                  | 1022019        |
| 7          | 518 | 3      | 8032     | Forward Reactive Energy                        | Forward Reactive Energy                | 1321692        |
| 7          | 519 | 3      | 8033     | Reverse Reactive Energy                        | Reverse Reactive Energy                | 1022016        |
| 7          | 520 | 3      | 8034     | Peak Forward Active Energy                     | Peak Forward Active Energy             | 1022089        |
| 7          | 521 | 3      | 8035     | Peak Reverse Active Energy                     | Peak Reverse Active Energy             | 1022087        |
| 7          | 522 | 3      | 8038     | Valley Forward Active Energy                   | Valley Forward Active Energy           | 1022274        |
| 7          | 523 | 3      | 8039     | Valley Reverse Active Energy                   | Valley Reverse Active Energy           | 1022272        |
| 7          | 524 | 3      | 8042     | Flat Forward Active Energy                     | Flat Forward Active Energy             | 1022897        |
| 7          | 525 | 3      | 8043     | Flat Reverse Active Energy                     | Flat Reverse Active Energy             | 1022892        |
| 7          | 526 | 3      | 8062     | Daily Forward Active Energy                    | Monthly Forward Active Energy          | 1321686        |
| 7          | 527 | 3      | 8063     | Daily Reverse Active Energy                    | Monthly Reverse Active Energy          | 1321644        |
| 7          | 528 | 3      | 8064     | Frequency                                      | Frequency                              | 1022866        |
| 7          | 529 | 3      | 8072     | Daily Peak Forward Active Energy               | Monthly Peak Forward Active kWh        | 1321683        |
| 7          | 530 | 3      | 8065     | Daily Peak Reverse Active Energy               | Monthly Peak Reverse Active kWh        | 1321677        |
| 7          | 531 | 3      | 8066     | Daily Valley Forward Active Energy             | Monthly Valley Forward Active kWh      | 1321689        |
| 7          | 532 | 3      | 8067     | Daily Valley Reverse Active Energy             | Monthly Valley Reverse Active kWh      | 1321688        |
| 7          | 533 | 3      | 8068     | Daily Flat Forward Active Energy               | Monthly Flat Forward Active kWh        | 1321685        |
| 7          | 534 | 3      | 8069     | Daily Flat Reverse Active Energy               | Monthly Flat Reverse Active kWh        | 1321684        |
| 7          | 535 | 3      | 8070     | Daily Tip Forward Active Energy                | Monthly Tip Forward Active kWh         | 1321676        |
| 7          | 536 | 3      | 8071     | Daily Tip Reverse Active Energy                | Monthly Tip Reverse Active kWh         | 1321675        |
| 4          | 540 | 1      | 1001     | DC Bus Voltage                                 | DC Bus Voltage                         | 1014345        |
| 4          | 541 | 1      | 1002     | Interior Temperature                           | Interior Temperature                   | 1018189        |
| 4          | 542 | 1      | 1005     | Total DC Current                               | Total Current                          | 1014553        |
| 4          | 543 | 1      | 1009     | Ipv-1                                          | Ipv-1                                  | 1021502        |
| 4          | 544 | 1      | 1010     | Ipv-2                                          | Ipv-2                                  | 1021621        |
| 4          | 545 | 1      | 1011     | Ipv-3                                          | Ipv-3                                  | 1021668        |
| 4          | 546 | 1      | 1012     | Ipv-4                                          | Ipv-4                                  | 1021680        |
| 4          | 547 | 1      | 1013     | Ipv-5                                          | Ipv-5                                  | 1021692        |
| 4          | 548 | 1      | 1014     | Ipv-6                                          | Ipv-6                                  | 1021704        |
| 4          | 549 | 1      | 1015     | Ipv-7                                          | Ipv-7                                  | 1021716        |
| 4          | 550 | 1      | 1016     | Ipv-8                                          | Ipv-8                                  | 1021728        |
| 4          | 551 | 1      | 1017     | Ipv-9                                          | Ipv-9                                  | 1021740        |
| 4          | 552 | 1      | 1018     | Ipv-10                                         | Ipv-10                                 | 1021384        |
| 4          | 553 | 1      | 1019     | Ipv-11                                         | Ipv-11                                 | 1021396        |
| 4          | 554 | 1      | 1020     | Ipv-12                                         | Ipv-12                                 | 1021408        |
| 4          | 555 | 1      | 1021     | Ipv-13                                         | Ipv-13                                 | 1021420        |
| 4          | 556 | 1      | 1022     | Ipv-14                                         | Ipv-14                                 | 1021432        |
| 4          | 557 | 1      | 1023     | Ipv-15                                         | Ipv-15                                 | 1021444        |
| 4          | 558 | 1      | 1024     | Ipv-16                                         | Ipv-16                                 | 1021456        |
| 4          | 559 | 1      | 1006     | Total DC Power                                 | Total Power                            | 1025396        |
| 4          | 560 | 2      | 1001     | DC Bus Voltage                                 | DC Bus Voltage                         | 1014345        |
| 4          | 561 | 2      | 1002     | Interior Temperature                           | Interior Temperature                   | 1018189        |
| 4          | 562 | 2      | 1005     | Total DC Current                               | Total Current                          | 1014553        |
| 4          | 563 | 2      | 1009     | Ipv-1                                          | Ipv-1                                  | 1021502        |
| 4          | 564 | 2      | 1010     | Ipv-2                                          | Ipv-2                                  | 1021621        |
| 4          | 565 | 2      | 1011     | Ipv-3                                          | Ipv-3                                  | 1021668        |
| 4          | 566 | 2      | 1012     | Ipv-4                                          | Ipv-4                                  | 1021680        |
| 4          | 567 | 2      | 1013     | Ipv-5                                          | Ipv-5                                  | 1021692        |
| 4          | 568 | 2      | 1014     | Ipv-6                                          | Ipv-6                                  | 1021704        |
| 4          | 569 | 2      | 1015     | Ipv-7                                          | Ipv-7                                  | 1021716        |
| 4          | 570 | 2      | 1016     | Ipv-8                                          | Ipv-8                                  | 1021728        |
| 4          | 571 | 2      | 1017     | Ipv-9                                          | Ipv-9                                  | 1021740        |
| 4          | 572 | 2      | 1018     | Ipv-10                                         | Ipv-10                                 | 1021384        |
| 4          | 573 | 2      | 1019     | Ipv-11                                         | Ipv-11                                 | 1021396        |
| 4          | 574 | 2      | 1020     | Ipv-12                                         | Ipv-12                                 | 1021408        |
| 4          | 575 | 2      | 1021     | Ipv-13                                         | Ipv-13                                 | 1021420        |
| 4          | 576 | 2      | 1022     | Ipv-14                                         | Ipv-14                                 | 1021432        |
| 4          | 577 | 2      | 1023     | Ipv-15                                         | Ipv-15                                 | 1021444        |
| 4          | 578 | 2      | 1024     | Ipv-16                                         | Ipv-16                                 | 1021456        |
| 4          | 579 | 2      | 1006     | Total DC Power                                 | Total Power                            | 1025396        |
| 4          | 580 | 3      | 1001     | DC Bus Voltage                                 | DC Bus Voltage                         | 1014345        |
| 4          | 581 | 3      | 1002     | Interior Temperature                           | Interior Temperature                   | 1018189        |
| 4          | 582 | 3      | 1005     | Total DC Current                               | Total Current                          | 1014553        |
| 4          | 583 | 3      | 1009     | Ipv-1                                          | Ipv-1                                  | 1021502        |
| 4          | 584 | 3      | 1010     | Ipv-2                                          | Ipv-2                                  | 1021621        |
| 4          | 585 | 3      | 1011     | Ipv-3                                          | Ipv-3                                  | 1021668        |
| 4          | 586 | 3      | 1012     | Ipv-4                                          | Ipv-4                                  | 1021680        |
| 4          | 587 | 3      | 1013     | Ipv-5                                          | Ipv-5                                  | 1021692        |
| 4          | 588 | 3      | 1014     | Ipv-6                                          | Ipv-6                                  | 1021704        |
| 4          | 589 | 3      | 1015     | Ipv-7                                          | Ipv-7                                  | 1021716        |
